The current job ID is 16136
List of CUDA devices: 0

Job ID: 16136
CUDA_VISIBLE_DEVICES: 0
==== Job started at Mon Apr 20 22:24:55 CST 2026 ====
==== Current working directory is /home/user_milksang/private/homefile/RL_smoothen/toy_model ====
Mon Apr 20 22:24:55 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 590.48.01              Driver Version: 590.48.01      CUDA Version: 13.1     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                Off |   00000000:27:00.0 Off |                    0 |
| N/A   33C    P0             70W /  600W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
============================================================
Step 1: Building FlowModel + boltzmann Pretraining...
============================================================
  Model: layers=8, hidden=64, coupling=affine, params=35,344
  Generating fixed dataset: 100000 samples from Boltzmann(beta=1.0)...
  Dataset ready. Shape: torch.Size([100000, 2])
  Computing full 2D FIM field at 21x21 points (100 samples/point, trimmed mean with trim=0.1)...
    FIM column 5/21 done (105/441)
    FIM column 10/21 done (210/441)
    FIM column 15/21 done (315/441)
    FIM column 20/21 done (420/441)
    F11 range: [1.499422, 188.625091]
    F22 range: [0.638791, 824.691000]
    F11 ratio (max/min): 125.80
    F22 ratio (max/min): 1291.02
    KL-alpha range: [-6.6843, 12.1754]
    KL-beta  range: [-10.6726, 4.7663]
  Scanning J(theta) on uniform KL grid (21x21)...
    KL-J column 10/21 done
    KL-J column 20/21 done

============================================================
Step 5: Generating visualizations...
============================================================
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig1_landscape.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig2_trajectory.gif
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig3_convergence.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig4_landscape_3d.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig5_dataset.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig6_distributions.png
    Computing log π for 1001 snapshots...
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig7_distribution_evolution.gif
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig8_fim_evolution.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig9_step_comparison.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig10_kl_efficiency.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig11_trajectory_ellipses.png
  Saved: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow/fig12_theorem1.png

============================================================
Results (2D Rastrigin, FlowModel affine):
  PPO final mean reward:   -0.9164
  PPO best reward:         -0.0000  (first at iter 887, evals=227072)
  CMA-ES best reward:      -0.0000  (first at evals=6433)
  Outputs saved to: /opt/data/bcmdata/ZONES/home/PROJECTS/homefile/PRIVATE/milksang/RL_smoothen/toy_model/output/flow
============================================================
==== Job finished at Mon Apr 20 23:18:49 CST 2026 ====
